japan	unknown 
benares	south-westward 
shanghai river	due 
bank of england	good same 
suez canal	9th least 9th 
monsieur phileas fogg	unconscious capable contented domestic afraid able due tranquil interrupted due due servant contented contented natural more rather more prudent great convenient convenient convenient convenient more more convenient doubtful rich lavish communicative absented absented exact slow left_hand light_hair pale_hair compact_hair compact unwrinkled magnificent_teeth exact ready economical parisian blue_eyes brown_hair own ready glad lunatic glad glad contented self-composed able honourable honourable honourable honourable anxious ignorant undecided pleased bolder relative gracious own justified calm taciturn half-way delighted clenched_fist behind-hand second safe less distant honest courageous honest courageous guilty blind honest free behind-hand own criminal dead eccentric happiest behind-hand rich pleased magnificent careful expensive embarrassed ready due able serviceable devoted high_head unwilling contented contented 
united states	located 
aouda	pensive relative great_eyes sheltered thunderstruck anxious safe guilty 
joe smith	angry_eyes 
gauthier ralph	safe 
yokohama	plentiful sure 
calcutta	due 
east india company	venerated whirling cheap 
singapore	due distant 
andrew stuart	good 
medicine bow	suspension-bridge impossible 
jean passepartout	proud due less astonished perplexed perplexed perplexed ready unfortunate enraged furious best merry speechless bold unconscious more ignorant able restless victorious beaten long slow astounded ready wide_eyes good_eyes stupefied vain fine_eyes white_cheeks delicate_cheeks great_eyes clear_eyes curved_ears narrow_waist supple_waist tunic fine_eyes better_lips delighted certain white convenient parisian familiar important furious amusing ignorant relieved convinced delighted agreeable 
mudge	confident afraid 
eight thousand dollars	worth 
jumna	unconscious safe 
proctor	conspicuous delighted second 
bombay	due 
paris	parisian 
london institution	absented distant due 
john bunsby	able 
new york	necessary 
kiouni	present 
saville row	noticeable doubtful 
