flint	dead 
o'brien	bald dead strong_head 
bill	left_hand 
dance	glad 
england	terrible 
spy-glass	strangest 
jim hawkins	deep clever ready thick friendly own_hands sober drunk sober not_useless plain useful unarmed agreeable free sure ragged_hands desirous sure sure bright_eyes black_eyes tilted_arm tilted_head likely uneasy alarmed great_arm sinewy_arm afraid weak 
billy bones	dead dead 
king george	drunk shocking weak drunk blind pleased 
squire trelawney	afraid cool 
tom morgan	good stupid 
job anderson	sure 
cap'n smollett	half-frightened scarce anxious bright sober 
long john silver	able ashen_lips own_hand anxious best not_good cap'n new sabre-cut_cheek avowed 
ben gunn	successful cordial short-handed 
abraham gray	frightened_feet mad last certain sure pleased foolhardy clear scarce giddy sick distressed first 
dr. livesey	mad proud 
alexander smollett	left_hand 
john hunter	steady 
dick johnson	square uneasy big_fingers 
