otto liedenbrock	aware over-anxious 
snæfell	extinct dumb high 
port gräuben	useless 
virlandaise	calm 
m. jules verne	not_general long_legs courageous sober amphibious willing frightened fast fancy 
hans bjelke	ready not_mistaken mistaken able busy long_hair usual blue_eye sure gay full 
m. liedenbrock	not_mistaken 
m. fridrikssen	sorry 
axel island	unacquainted good not_mistaken not_mistaken mad not_gifted bent liable merry 
mademoiselle gräuben	blonde fond charming_fingers not_timidest bravest good little_hands 
cape saknussemm	not_evident own_tongue mistaken 
jules verne forum	happy 
